date,open,close,price_change,p_change_rate,low,high,volume,amount,turnover,index_open,index_close,index_price_change,index_p_change_rate,index_low,index_high,index_volume,index_amount
20151012,13.1,13.9,0.85,6.51,13.03,14.18,3424167.0,468379.19,6.82,10599.88,10961.36,421.17,4.0,10593.54,11069.68,341342688.0,48970440.0
20151009,12.72,13.05,0.35,2.76,12.61,13.32,2179027.0,283062.84,4.34,10386.81,10540.19,145.46,1.4,10363.98,10589.52,241885568.0,34015276.0
20151008,12.73,12.7,0.58,4.79,12.51,12.94,2004402.0,255118.55,3.99,10332.24,10394.73,406.48,4.07,10265.0,10477.21,230687952.0,32878932.0
20150930,12.27,12.12,0.06,0.5,12.03,12.34,890870.0,108482.55,1.78,10004.79,9988.25,38.33,0.39,9890.71,10048.86,149803840.0,21462936.0
20150929,12.18,12.06,0.42,3.37,12.0,12.37,1208908.0,146890.33,2.41,9962.58,9949.92,165.63,1.64,9873.78,10070.25,174480896.0,25120888.0
20150928,12.38,12.48,0.15,1.22,11.92,12.58,1285008.0,157858.12,2.56,9919.56,10115.55,210.79,2.13,9796.93,10124.31,164021040.0,23801166.0
20150925,12.72,12.33,0.44,3.45,12.15,13.08,2011419.0,254800.33,4.01,10184.88,9904.76,333.28,3.26,9835.84,10249.24,226740128.0,31278412.0
20150924,12.68,12.77,0.17,1.35,12.5,12.93,1988660.0,252927.47,3.96,10178.1,10238.04,105.74,1.04,10124.13,10288.18,221491616.0,31923992.0
20150923,12.89,12.6,0.51,3.89,12.51,12.95,2316344.0,294522.59,4.62,10071.33,10132.3,106.39,1.04,10040.95,10250.45,231844032.0,32153112.0
20150922,12.65,13.11,0.48,3.8,12.52,13.48,3453051.0,447545.56,6.88,10200.55,10238.69,61.96,0.61,10121.74,10357.42,263897888.0,36747476.0
20150921,11.9,12.63,0.48,3.95,11.8,12.66,2098565.0,258844.16,4.18,9732.12,10176.73,325.96,3.31,9701.33,10176.73,227167872.0,31343906.0
20150918,12.18,12.15,0.08,0.66,11.92,12.33,1853419.0,224761.14,3.69,9806.72,9850.77,110.88,1.14,9691.06,9914.58,187680992.0,25417650.0
20150917,12.65,12.07,0.48,3.82,12.04,12.96,3174857.0,395201.38,6.33,9872.04,9739.89,150.54,1.52,9739.89,10147.17,273715616.0,36065392.0
20150916,11.76,12.55,1.14,9.99,11.53,12.55,2871440.0,344079.94,5.72,9330.75,9890.43,599.62,6.45,9297.2,9933.83,234801008.0,28479212.0
20150915,12.13,11.41,1.2,9.52,11.35,12.55,2886121.0,343524.31,5.75,9533.45,9290.81,487.42,4.98,9259.65,9719.66,198214432.0,23370994.0
20150914,14.12,12.61,1.4,9.99,12.61,14.19,3190725.0,418233.03,6.36,10517.68,9778.23,685.46,6.55,9739.42,10544.28,240882704.0,30747692.0
20150911,13.99,14.01,0.02,0.14,13.77,14.31,1809909.0,254292.22,3.61,10408.41,10463.69,39.04,0.37,10332.41,10555.62,190465088.0,26328988.0
20150910,14.21,13.99,0.66,4.51,13.89,14.46,2769171.0,393042.62,5.52,10449.93,10424.65,195.48,1.84,10406.02,10618.87,225314176.0,31106832.0
20150909,14.2,14.65,0.3,2.09,14.1,15.49,5788935.0,848606.19,11.54,10367.35,10620.13,299.9,2.91,10335.02,10702.18,311925920.0,43187576.0
20150908,13.57,14.35,0.35,2.5,13.07,14.68,3478300.0,477681.0,6.93,9898.63,10320.23,328.47,3.29,9763.95,10341.3,200427440.0,26025110.0
20150907,13.88,14.0,0.67,5.03,13.8,14.66,5219036.0,750221.31,10.4,10121.83,9991.76,63.04,0.63,9933.54,10404.22,228540560.0,29994514.0
20150902,12.15,13.33,0.36,2.78,11.91,13.61,3886795.0,504628.03,7.75,9694.48,10054.8,107.72,1.06,9682.71,10319.49,259173728.0,32550024.0
20150901,14.21,12.97,1.44,9.99,12.97,14.23,3112504.0,414823.88,6.2,10388.5,10162.52,386.64,3.67,9954.58,10388.5,246291456.0,30520424.0
20150831,15.29,14.41,1.06,6.85,14.4,15.29,3757594.0,556634.0,7.49,10706.23,10549.16,250.84,2.32,10398.33,10706.23,266702560.0,36536172.0
20150828,14.23,15.47,1.41,10.03,13.81,15.47,4505182.0,655581.06,8.98,10397.97,10800.0,545.65,5.32,10311.37,10826.19,315988576.0,42499804.0
20150827,14.08,14.06,0.46,3.38,13.0,14.42,4004467.0,555986.88,7.98,10076.09,10254.35,354.63,3.58,9713.99,10254.35,271961856.0,36101636.0
20150826,13.3,13.6,0.11,0.82,13.03,14.62,5309325.0,736094.0,10.58,10199.9,9899.72,298.22,2.92,9776.21,10559.24,326727168.0,43223452.0
20150825,13.6,13.49,1.5,10.01,13.49,14.23,3724777.0,513022.56,7.42,10212.47,10197.94,772.35,7.04,10168.42,10529.92,218746752.0,28796732.0
20150824,15.72,14.99,1.67,10.02,14.99,16.0,2901245.0,443267.59,5.78,11399.66,10970.29,931.76,7.83,10964.09,11446.1,193829360.0,27287170.0
20150821,17.5,16.66,1.32,7.34,16.61,17.69,3291244.0,563346.62,6.56,12355.27,11902.05,682.53,5.42,11891.84,12511.42,260160800.0,41879148.0
20150820,19.07,17.98,1.66,8.45,17.9,19.3,4032498.0,747815.25,8.04,12864.83,12584.58,376.08,2.9,12582.24,13040.36,283755712.0,48088084.0
20150819,18.88,19.64,0.36,1.87,17.6,19.95,6205831.0,1171155.5,12.37,12328.6,12960.66,276.8,2.18,12049.92,13028.5,331748544.0,54711220.0
20150818,19.5,19.28,0.47,2.38,19.1,20.66,6919008.0,1378742.38,13.79,13608.52,12683.86,890.04,6.56,12634.95,13652.54,389034912.0,66727432.0
20150817,20.99,19.75,0.45,2.23,19.45,21.69,8560013.0,1760075.38,17.06,13417.33,13573.9,128.03,0.95,13309.54,13585.96,326809216.0,56038784.0
20150814,20.2,20.2,1.84,10.02,20.2,20.2,721453.0,145733.56,1.44,13497.16,13445.87,50.69,0.38,13378.59,13606.33,326795168.0,57400884.0
20150813,18.36,18.36,1.67,10.01,18.36,18.36,203415.0,37347.01,0.41,13069.98,13395.18,278.08,2.12,12962.0,13395.18,287062464.0,49772192.0
20150812,16.69,16.69,1.52,10.02,16.69,16.69,70288.0,11730.99,0.14,13201.54,13117.1,205.98,1.55,13117.1,13396.33,285113792.0,50670148.0
20150811,15.17,15.17,1.38,10.01,15.17,15.17,52391.0,7947.68,0.1,13316.89,13323.09,20.13,0.15,13240.09,13508.3,351829888.0,62312448.0
20150731,13.63,13.79,0.17,1.25,13.36,14.19,2551377.0,353386.81,5.08,12228.41,12374.25,21.67,0.17,12213.46,12580.96,235191520.0,41761140.0
20150730,14.3,13.62,0.91,6.26,13.6,14.71,2364738.0,338774.25,4.71,12766.34,12395.92,427.15,3.33,12382.3,12988.55,299458528.0,54074584.0
20150729,14.22,14.53,0.6,4.31,13.65,14.77,2573628.0,362123.25,5.13,12472.28,12823.07,506.29,4.11,12078.32,12823.15,296488768.0,52308252.0
